"NOC","Year","Season","Medal","Count"
"URS",2012,"Summer","Gold",0
"JPN",2012,"Summer","Gold",7
"SUI",2012,"Summer","Gold",2
"GDR",2012,"Summer","Gold",0
"SWE",2012,"Summer","Gold",2
"GBR",2012,"Summer","Gold",48
"ROU",2012,"Summer","Gold",2
"GER",2012,"Summer","Gold",45
"POL",2012,"Summer","Gold",2
"TCH",2012,"Summer","Gold",0
"FRG",2012,"Summer","Gold",0
"KOR",2012,"Summer","Gold",18
"CHN",2012,"Summer","Gold",56
"DEN",2016,"Summer","Gold",15
"FIN",2016,"Summer","Gold",0
"NOR",2016,"Summer","Gold",0
"NED",2016,"Summer","Gold",9
"FRA",2016,"Summer","Gold",20
"ITA",2016,"Summer","Gold",8
"ESP",2016,"Summer","Gold",9
"RUS",2016,"Summer","Gold",52
"USA",2016,"Summer","Gold",139
"HUN",2016,"Summer","Gold",12
"AUS",2016,"Summer","Gold",23
"CAN",2016,"Summer","Gold",4
"URS",2016,"Summer","Gold",0
"JPN",2016,"Summer","Gold",17
"SUI",2016,"Summer","Gold",6
"GDR",2016,"Summer","Gold",0
"SWE",2016,"Summer","Gold",2
"GBR",2016,"Summer","Gold",64
"ROU",2016,"Summer","Gold",4
"GER",2016,"Summer","Gold",49
"POL",2016,"Summer","Gold",3
"TCH",2016,"Summer","Gold",0
"FRG",2016,"Summer","Gold",0
"KOR",2016,"Summer","Gold",13
"CHN",2016,"Summer","Gold",46
"DEN",1896,"Summer","Silver",2
"FIN",1896,"Summer","Silver",0
"NOR",1896,"Summer","Silver",0
"NED",1896,"Summer","Silver",0
"FRA",1896,"Summer","Silver",4
"ITA",1896,"Summer","Silver",0
"ESP",1896,"Summer","Silver",0
"RUS",1896,"Summer","Silver",0
"USA",1896,"Summer","Silver",7
"HUN",1896,"Summer","Silver",1
"AUS",1896,"Summer","Silver",0
"CAN",1896,"Summer","Silver",0
"URS",1896,"Summer","Silver",0
"JPN",1896,"Summer","Silver",0
"SUI",1896,"Summer","Silver",2
"GDR",1896,"Summer","Silver",0
"SWE",1896,"Summer","Silver",0
"GBR",1896,"Summer","Silver",3
"ROU",1896,"Summer","Silver",0
"GER",1896,"Summer","Silver",5
"POL",1896,"Summer","Silver",0
"TCH",1896,"Summer","Silver",0
"FRG",1896,"Summer","Silver",0
"KOR",1896,"Summer","Silver",0
"CHN",1896,"Summer","Silver",0
"DEN",1900,"Summer","Silver",3
"FIN",1900,"Summer","Silver",0
"NOR",1900,"Summer","Silver",6
"NED",1900,"Summer","Silver",8
"FRA",1900,"Summer","Silver",101
"ITA",1900,"Summer","Silver",2
"ESP",1900,"Summer","Silver",0
"RUS",1900,"Summer","Silver",0
"USA",1900,"Summer","Silver",16
"HUN",1900,"Summer","Silver",2
"AUS",1900,"Summer","Silver",0
"CAN",1900,"Summer","Silver",0
"URS",1900,"Summer","Silver",0
"JPN",1900,"Summer","Silver",0
"SUI",1900,"Summer","Silver",4
"GDR",1900,"Summer","Silver",0
"SWE",1900,"Summer","Silver",0
"GBR",1900,"Summer","Silver",34
"ROU",1900,"Summer","Silver",0
"GER",1900,"Summer","Silver",20
"POL",1900,"Summer","Silver",0
"TCH",1900,"Summer","Silver",0
"FRG",1900,"Summer","Silver",0
"KOR",1900,"Summer","Silver",0
"CHN",1900,"Summer","Silver",0
"DEN",1904,"Summer","Silver",0
"FIN",1904,"Summer","Silver",0
"NOR",1904,"Summer","Silver",0
"NED",1904,"Summer","Silver",0
"FRA",1904,"Summer","Silver",2
"ITA",1904,"Summer","Silver",0
"ESP",1904,"Summer","Silver",0
"RUS",1904,"Summer","Silver",0
"USA",1904,"Summer","Silver",141
"HUN",1904,"Summer","Silver",1
"AUS",1904,"Summer","Silver",3
"CAN",1904,"Summer","Silver",9
"URS",1904,"Summer","Silver",0
"JPN",1904,"Summer","Silver",0
"SUI",1904,"Summer","Silver",0
"GDR",1904,"Summer","Silver",0
"SWE",1904,"Summer","Silver",0
"GBR",1904,"Summer","Silver",1
"ROU",1904,"Summer","Silver",0
"GER",1904,"Summer","Silver",5
"POL",1904,"Summer","Silver",0
"TCH",1904,"Summer","Silver",0
"FRG",1904,"Summer","Silver",0
"KOR",1904,"Summer","Silver",0
"CHN",1904,"Summer","Silver",0
"DEN",1908,"Summer","Silver",14
"FIN",1908,"Summer","Silver",1
"NOR",1908,"Summer","Silver",32
"NED",1908,"Summer","Silver",0
"FRA",1908,"Summer","Silver",5
"ITA",1908,"Summer","Silver",6
"ESP",1908,"Summer","Silver",0
"RUS",1908,"Summer","Silver",2
"USA",1908,"Summer","Silver",16
"HUN",1908,"Summer","Silver",7
"AUS",1908,"Summer","Silver",0
"CAN",1908,"Summer","Silver",8
"URS",1908,"Summer","Silver",0
"JPN",1908,"Summer","Silver",0
"SUI",1908,"Summer","Silver",0
"GDR",1908,"Summer","Silver",0
"SWE",1908,"Summer","Silver",18
"GBR",1908,"Summer","Silver",131
"ROU",1908,"Summer","Silver",0
"GER",1908,"Summer","Silver",11
"POL",1908,"Summer","Silver",0
"TCH",1908,"Summer","Silver",0
"FRG",1908,"Summer","Silver",0
"KOR",1908,"Summer","Silver",0
"CHN",1908,"Summer","Silver",0
"DEN",1912,"Summer","Silver",49
"FIN",1912,"Summer","Silver",40
"NOR",1912,"Summer","Silver",6
"NED",1912,"Summer","Silver",0
"FRA",1912,"Summer","Silver",11
"ITA",1912,"Summer","Silver",1
"ESP",1912,"Summer","Silver",0
"RUS",1912,"Summer","Silver",5
"USA",1912,"Summer","Silver",25
"HUN",1912,"Summer","Silver",17
"AUS",1912,"Summer","Silver",0
"CAN",1912,"Summer","Silver",2
"URS",1912,"Summer","Silver",0
"JPN",1912,"Summer","Silver",0
"SUI",1912,"Summer","Silver",0
"GDR",1912,"Summer","Silver",0
"SWE",1912,"Summer","Silver",62
"GBR",1912,"Summer","Silver",64
"ROU",1912,"Summer","Silver",0
"GER",1912,"Summer","Silver",19
"POL",1912,"Summer","Silver",0
"TCH",1912,"Summer","Silver",0
"FRG",1912,"Summer","Silver",0
"KOR",1912,"Summer","Silver",0
"CHN",1912,"Summer","Silver",0
"DEN",1916,"Summer","Silver",0
"FIN",1916,"Summer","Silver",0
"NOR",1916,"Summer","Silver",0
"NED",1916,"Summer","Silver",0
"FRA",1916,"Summer","Silver",0
"ITA",1916,"Summer","Silver",0
"ESP",1916,"Summer","Silver",0
"RUS",1916,"Summer","Silver",0
"USA",1916,"Summer","Silver",0
"HUN",1916,"Summer","Silver",0
"AUS",1916,"Summer","Silver",0
"CAN",1916,"Summer","Silver",0
"URS",1916,"Summer","Silver",0
"JPN",1916,"Summer","Silver",0
"SUI",1916,"Summer","Silver",0
"GDR",1916,"Summer","Silver",0
"SWE",1916,"Summer","Silver",0
"GBR",1916,"Summer","Silver",0
"ROU",1916,"Summer","Silver",0
"GER",1916,"Summer","Silver",0
"POL",1916,"Summer","Silver",0
"TCH",1916,"Summer","Silver",0
"FRG",1916,"Summer","Silver",0
"KOR",1916,"Summer","Silver",0
"CHN",1916,"Summer","Silver",0
"DEN",1920,"Summer","Silver",44
"FIN",1920,"Summer","Silver",14
"NOR",1920,"Summer","Silver",52
"NED",1920,"Summer","Silver",10
"FRA",1920,"Summer","Silver",71
"ITA",1920,"Summer","Silver",9
"ESP",1920,"Summer","Silver",23
"RUS",1920,"Summer","Silver",0
"USA",1920,"Summer","Silver",45
"HUN",1920,"Summer","Silver",0
"AUS",1920,"Summer","Silver",6
"CAN",1920,"Summer","Silver",3
"URS",1920,"Summer","Silver",0
"JPN",1920,"Summer","Silver",3
"SUI",1920,"Summer","Silver",2
"GDR",1920,"Summer","Silver",0
"SWE",1920,"Summer","Silver",38
"GBR",1920,"Summer","Silver",42
"ROU",1920,"Summer","Silver",0
"GER",1920,"Summer","Silver",0
"POL",1920,"Summer","Silver",0
"TCH",1920,"Summer","Silver",0
"FRG",1920,"Summer","Silver",0
"KOR",1920,"Summer","Silver",0
"CHN",1920,"Summer","Silver",0
"DEN",1924,"Summer","Silver",9
"FIN",1924,"Summer","Silver",13
"NOR",1924,"Summer","Silver",5
"NED",1924,"Summer","Silver",1
"FRA",1924,"Summer","Silver",51
"ITA",1924,"Summer","Silver",5
"ESP",1924,"Summer","Silver",0
"RUS",1924,"Summer","Silver",0
"USA",1924,"Summer","Silver",36
"HUN",1924,"Summer","Silver",12
"AUS",1924,"Summer","Silver",5
"CAN",1924,"Summer","Silver",19
"URS",1924,"Summer","Silver",0
"JPN",1924,"Summer","Silver",0
"SUI",1924,"Summer","Silver",25
"GDR",1924,"Summer","Silver",0
"SWE",1924,"Summer","Silver",22
"GBR",1924,"Summer","Silver",30
"ROU",1924,"Summer","Silver",0
"GER",1924,"Summer","Silver",0
"POL",1924,"Summer","Silver",4
"TCH",1924,"Summer","Silver",4
"FRG",1924,"Summer","Silver",0
"KOR",1924,"Summer","Silver",0
"CHN",1924,"Summer","Silver",0
"DEN",1928,"Summer","Silver",5
"FIN",1928,"Summer","Silver",8
"NOR",1928,"Summer","Silver",4
"NED",1928,"Summer","Silver",29
"FRA",1928,"Summer","Silver",24
"ITA",1928,"Summer","Silver",22
"ESP",1928,"Summer","Silver",0
"RUS",1928,"Summer","Silver",0
"USA",1928,"Summer","Silver",24
"HUN",1928,"Summer","Silver",11
"AUS",1928,"Summer","Silver",2
"CAN",1928,"Summer","Silver",5
"URS",1928,"Summer","Silver",0
"JPN",1928,"Summer","Silver",6
"SUI",1928,"Summer","Silver",10
"GDR",1928,"Summer","Silver",0
"SWE",1928,"Summer","Silver",8
"GBR",1928,"Summer","Silver",27
"ROU",1928,"Summer","Silver",0
"GER",1928,"Summer","Silver",15
"POL",1928,"Summer","Silver",3
"TCH",1928,"Summer","Silver",12
"FRG",1928,"Summer","Silver",0
"KOR",1928,"Summer","Silver",0
"CHN",1928,"Summer","Silver",0
"DEN",1932,"Summer","Silver",7
"FIN",1932,"Summer","Silver",8
"NOR",1932,"Summer","Silver",0
"NED",1932,"Summer","Silver",10
"FRA",1932,"Summer","Silver",8
"ITA",1932,"Summer","Silver",38
"ESP",1932,"Summer","Silver",0
"RUS",1932,"Summer","Silver",0
"USA",1932,"Summer","Silver",47
"HUN",1932,"Summer","Silver",5
"AUS",1932,"Summer","Silver",1
"CAN",1932,"Summer","Silver",13
"URS",1932,"Summer","Silver",0
"JPN",1932,"Summer","Silver",17
"SUI",1932,"Summer","Silver",1
"GDR",1932,"Summer","Silver",0
"SWE",1932,"Summer","Silver",7
"GBR",1932,"Summer","Silver",12
"ROU",1932,"Summer","Silver",0
"GER",1932,"Summer","Silver",26
"POL",1932,"Summer","Silver",4
"TCH",1932,"Summer","Silver",3
"FRG",1932,"Summer","Silver",0
"KOR",1932,"Summer","Silver",0
"CHN",1932,"Summer","Silver",0
"DEN",1936,"Summer","Silver",3
"FIN",1936,"Summer","Silver",6
"NOR",1936,"Summer","Silver",12
"NED",1936,"Summer","Silver",7
"FRA",1936,"Summer","Silver",13
"ITA",1936,"Summer","Silver",34
"ESP",1936,"Summer","Silver",0
"RUS",1936,"Summer","Silver",0
"USA",1936,"Summer","Silver",29
"HUN",1936,"Summer","Silver",1
"AUS",1936,"Summer","Silver",0
"CAN",1936,"Summer","Silver",12
"URS",1936,"Summer","Silver",0
"JPN",1936,"Summer","Silver",4
"SUI",1936,"Summer","Silver",23
"GDR",1936,"Summer","Silver",0
"SWE",1936,"Summer","Silver",11
"GBR",1936,"Summer","Silver",16
"ROU",1936,"Summer","Silver",1
"GER",1936,"Summer","Silver",70
"POL",1936,"Summer","Silver",6
"TCH",1936,"Summer","Silver",12
"FRG",1936,"Summer","Silver",0
"KOR",1936,"Summer","Silver",0
"CHN",1936,"Summer","Silver",0
"DEN",1940,"Summer","Silver",0
"FIN",1940,"Summer","Silver",0
"NOR",1940,"Summer","Silver",0
"NED",1940,"Summer","Silver",0
"FRA",1940,"Summer","Silver",0
"ITA",1940,"Summer","Silver",0
"ESP",1940,"Summer","Silver",0
"RUS",1940,"Summer","Silver",0
"USA",1940,"Summer","Silver",0
"HUN",1940,"Summer","Silver",0
"AUS",1940,"Summer","Silver",0
"CAN",1940,"Summer","Silver",0
"URS",1940,"Summer","Silver",0
"JPN",1940,"Summer","Silver",0
"SUI",1940,"Summer","Silver",0
"GDR",1940,"Summer","Silver",0
"SWE",1940,"Summer","Silver",0
"GBR",1940,"Summer","Silver",0
"ROU",1940,"Summer","Silver",0
"GER",1940,"Summer","Silver",0
"POL",1940,"Summer","Silver",0
"TCH",1940,"Summer","Silver",0
"FRG",1940,"Summer","Silver",0
"KOR",1940,"Summer","Silver",0
"CHN",1940,"Summer","Silver",0
"DEN",1944,"Summer","Silver",0
"FIN",1944,"Summer","Silver",0
"NOR",1944,"Summer","Silver",0
"NED",1944,"Summer","Silver",0
"FRA",1944,"Summer","Silver",0
"ITA",1944,"Summer","Silver",0
"ESP",1944,"Summer","Silver",0
"RUS",1944,"Summer","Silver",0
"USA",1944,"Summer","Silver",0
"HUN",1944,"Summer","Silver",0
"AUS",1944,"Summer","Silver",0
"CAN",1944,"Summer","Silver",0
"URS",1944,"Summer","Silver",0
"JPN",1944,"Summer","Silver",0
"SUI",1944,"Summer","Silver",0
"GDR",1944,"Summer","Silver",0
"SWE",1944,"Summer","Silver",0
"GBR",1944,"Summer","Silver",0
"ROU",1944,"Summer","Silver",0
"GER",1944,"Summer","Silver",0
"POL",1944,"Summer","Silver",0
"TCH",1944,"Summer","Silver",0
"FRG",1944,"Summer","Silver",0
"KOR",1944,"Summer","Silver",0
"CHN",1944,"Summer","Silver",0
"DEN",1948,"Summer","Silver",17
"FIN",1948,"Summer","Silver",8
"NOR",1948,"Summer","Silver",4
"NED",1948,"Summer","Silver",2
"FRA",1948,"Summer","Silver",22
"ITA",1948,"Summer","Silver",32
"ESP",1948,"Summer","Silver",3
"RUS",1948,"Summer","Silver",0
"USA",1948,"Summer","Silver",30
"HUN",1948,"Summer","Silver",25
"AUS",1948,"Summer","Silver",9
"CAN",1948,"Summer","Silver",2
"URS",1948,"Summer","Silver",0
"JPN",1948,"Summer","Silver",0
"SUI",1948,"Summer","Silver",25
"GDR",1948,"Summer","Silver",0
"SWE",1948,"Summer","Silver",15
"GBR",1948,"Summer","Silver",42
"ROU",1948,"Summer","Silver",0
"GER",1948,"Summer","Silver",0
"POL",1948,"Summer","Silver",0
"TCH",1948,"Summer","Silver",3
"FRG",1948,"Summer","Silver",0
"KOR",1948,"Summer","Silver",0
"CHN",1948,"Summer","Silver",0
"DEN",1952,"Summer","Silver",1
"FIN",1952,"Summer","Silver",3
"NOR",1952,"Summer","Silver",8
"NED",1952,"Summer","Silver",18
"FRA",1952,"Summer","Silver",9
"ITA",1952,"Summer","Silver",22
"ESP",1952,"Summer","Silver",1
"RUS",1952,"Summer","Silver",0
"USA",1952,"Summer","Silver",23
"HUN",1952,"Summer","Silver",17
"AUS",1952,"Summer","Silver",2
"CAN",1952,"Summer","Silver",3
"URS",1952,"Summer","Silver",62
"JPN",1952,"Summer","Silver",9
"SUI",1952,"Summer","Silver",19
"GDR",1952,"Summer","Silver",0
"SWE",1952,"Summer","Silver",24
"GBR",1952,"Summer","Silver",2
"ROU",1952,"Summer","Silver",1
"GER",1952,"Summer","Silver",14
"POL",1952,"Summer","Silver",2
"TCH",1952,"Summer","Silver",4
"FRG",1952,"Summer","Silver",0
"KOR",1952,"Summer","Silver",0
"CHN",1952,"Summer","Silver",0
"DEN",1956,"Summer","Silver",4
"FIN",1956,"Summer","Silver",1
"NOR",1956,"Summer","Silver",0
"NED",1956,"Summer","Silver",0
"FRA",1956,"Summer","Silver",13
"ITA",1956,"Summer","Silver",11
"ESP",1956,"Summer","Silver",0
"RUS",1956,"Summer","Silver",0
"USA",1956,"Summer","Silver",42
"HUN",1956,"Summer","Silver",20
"AUS",1956,"Summer","Silver",13
"CAN",1956,"Summer","Silver",9
"URS",1956,"Summer","Silver",46
"JPN",1956,"Summer","Silver",15
"SUI",1956,"Summer","Silver",0
"GDR",1956,"Summer","Silver",0
"SWE",1956,"Summer","Silver",14
"GBR",1956,"Summer","Silver",16
"ROU",1956,"Summer","Silver",3
"GER",1956,"Summer","Silver",20
"POL",1956,"Summer","Silver",9
"TCH",1956,"Summer","Silver",5
"FRG",1956,"Summer","Silver",0
"KOR",1956,"Summer","Silver",1
"CHN",1956,"Summer","Silver",0
"DEN",1960,"Summer","Silver",17
"FIN",1960,"Summer","Silver",1
"NOR",1960,"Summer","Silver",0
"NED",1960,"Summer","Silver",1
"FRA",1960,"Summer","Silver",6
"ITA",1960,"Summer","Silver",18
"ESP",1960,"Summer","Silver",0
"RUS",1960,"Summer","Silver",0
"USA",1960,"Summer","Silver",23
"HUN",1960,"Summer","Silver",16
"AUS",1960,"Summer","Silver",24
"CAN",1960,"Summer","Silver",9
"URS",1960,"Summer","Silver",63
"JPN",1960,"Summer","Silver",10
"SUI",1960,"Summer","Silver",6
"GDR",1960,"Summer","Silver",0
"SWE",1960,"Summer","Silver",2
"GBR",1960,"Summer","Silver",11
"ROU",1960,"Summer","Silver",1
"GER",1960,"Summer","Silver",33
"POL",1960,"Summer","Silver",11
"TCH",1960,"Summer","Silver",7
"FRG",1960,"Summer","Silver",0
"KOR",1960,"Summer","Silver",0
"CHN",1960,"Summer","Silver",0
"DEN",1964,"Summer","Silver",1
"FIN",1964,"Summer","Silver",0
"NOR",1964,"Summer","Silver",0
"NED",1964,"Summer","Silver",10
"FRA",1964,"Summer","Silver",13
"ITA",1964,"Summer","Silver",28
"ESP",1964,"Summer","Silver",0
"RUS",1964,"Summer","Silver",0
"USA",1964,"Summer","Silver",37
"HUN",1964,"Summer","Silver",7
"AUS",1964,"Summer","Silver",6
"CAN",1964,"Summer","Silver",2
"URS",1964,"Summer","Silver",63
"JPN",1964,"Summer","Silver",5
"SUI",1964,"Summer","Silver",4
"GDR",1964,"Summer","Silver",0
"SWE",1964,"Summer","Silver",4
"GBR",1964,"Summer","Silver",19
"ROU",1964,"Summer","Silver",4
"GER",1964,"Summer","Silver",44
"POL",1964,"Summer","Silver",13
"TCH",1964,"Summer","Silver",37
"FRG",1964,"Summer","Silver",0
"KOR",1964,"Summer","Silver",2
"CHN",1964,"Summer","Silver",0
"DEN",1968,"Summer","Silver",6
"FIN",1968,"Summer","Silver",2
"NOR",1968,"Summer","Silver",2
"NED",1968,"Summer","Silver",7
"FRA",1968,"Summer","Silver",5
"ITA",1968,"Summer","Silver",8
"ESP",1968,"Summer","Silver",0
"RUS",1968,"Summer","Silver",0
"USA",1968,"Summer","Silver",32
"HUN",1968,"Summer","Silver",20
"AUS",1968,"Summer","Silver",35
"CAN",1968,"Summer","Silver",3
"URS",1968,"Summer","Silver",63
"JPN",1968,"Summer","Silver",25
"SUI",1968,"Summer","Silver",3
"GDR",1968,"Summer","Silver",20
"SWE",1968,"Summer","Silver",4
"GBR",1968,"Summer","Silver",5
"ROU",1968,"Summer","Silver",9
"GER",1968,"Summer","Silver",0
"POL",1968,"Summer","Silver",2
"TCH",1968,"Summer","Silver",7
"FRG",1968,"Summer","Silver",16
"KOR",1968,"Summer","Silver",1
"CHN",1968,"Summer","Silver",0
"DEN",1972,"Summer","Silver",0
"FIN",1972,"Summer","Silver",1
"NOR",1972,"Summer","Silver",2
"NED",1972,"Summer","Silver",1
"FRA",1972,"Summer","Silver",5
"ITA",1972,"Summer","Silver",3
"ESP",1972,"Summer","Silver",0
"RUS",1972,"Summer","Silver",0
"USA",1972,"Summer","Silver",59
"HUN",1972,"Summer","Silver",46
"AUS",1972,"Summer","Silver",7
"CAN",1972,"Summer","Silver",2
"URS",1972,"Summer","Silver",47
"JPN",1972,"Summer","Silver",19
"SUI",1972,"Summer","Silver",8
"GDR",1972,"Summer","Silver",64
"SWE",1972,"Summer","Silver",10
"GBR",1972,"Summer","Silver",9
"ROU",1972,"Summer","Silver",10
"GER",1972,"Summer","Silver",0
"POL",1972,"Summer","Silver",8
"TCH",1972,"Summer","Silver",21
"FRG",1972,"Summer","Silver",19
"KOR",1972,"Summer","Silver",1
"CHN",1972,"Summer","Silver",0
"DEN",1976,"Summer","Silver",0
"FIN",1976,"Summer","Silver",2
"NOR",1976,"Summer","Silver",4
"NED",1976,"Summer","Silver",2
"FRA",1976,"Summer","Silver",7
"ITA",1976,"Summer","Silver",25
"ESP",1976,"Summer","Silver",6
"RUS",1976,"Summer","Silver",0
"USA",1976,"Summer","Silver",58
"HUN",1976,"Summer","Silver",6
"AUS",1976,"Summer","Silver",15
"CAN",1976,"Summer","Silver",9
"URS",1976,"Summer","Silver",95
"JPN",1976,"Summer","Silver",6
"SUI",1976,"Summer","Silver",3
"GDR",1976,"Summer","Silver",51
"SWE",1976,"Summer","Silver",1
"GBR",1976,"Summer","Silver",15
"ROU",1976,"Summer","Silver",28
"GER",1976,"Summer","Silver",0
"POL",1976,"Summer","Silver",29
"TCH",1976,"Summer","Silver",4
"FRG",1976,"Summer","Silver",25
"KOR",1976,"Summer","Silver",1
"CHN",1976,"Summer","Silver",0
"DEN",1980,"Summer","Silver",2
"FIN",1980,"Summer","Silver",1
"NOR",1980,"Summer","Silver",0
"NED",1980,"Summer","Silver",1
"FRA",1980,"Summer","Silver",5
"ITA",1980,"Summer","Silver",21
"ESP",1980,"Summer","Silver",19
"RUS",1980,"Summer","Silver",0
"USA",1980,"Summer","Silver",0
"HUN",1980,"Summer","Silver",13
"AUS",1980,"Summer","Silver",2
"CAN",1980,"Summer","Silver",0
"URS",1980,"Summer","Silver",129
"JPN",1980,"Summer","Silver",0
"SUI",1980,"Summer","Silver",0
"GDR",1980,"Summer","Silver",88
"SWE",1980,"Summer","Silver",8
"GBR",1980,"Summer","Silver",18
"ROU",1980,"Summer","Silver",15
"GER",1980,"Summer","Silver",0
"POL",1980,"Summer","Silver",25
"TCH",1980,"Summer","Silver",18
"FRG",1980,"Summer","Silver",0
"KOR",1980,"Summer","Silver",0
"CHN",1980,"Summer","Silver",0
"DEN",1984,"Summer","Silver",3
"FIN",1984,"Summer","Silver",2
"NOR",1984,"Summer","Silver",1
"NED",1984,"Summer","Silver",7
"FRA",1984,"Summer","Silver",16
"ITA",1984,"Summer","Silver",6
"ESP",1984,"Summer","Silver",14
"RUS",1984,"Summer","Silver",0
"USA",1984,"Summer","Silver",116
"HUN",1984,"Summer","Silver",0
"AUS",1984,"Summer","Silver",14
"CAN",1984,"Summer","Silver",36
"URS",1984,"Summer","Silver",0
"JPN",1984,"Summer","Silver",8
"SUI",1984,"Summer","Silver",9
"GDR",1984,"Summer","Silver",0
"SWE",1984,"Summer","Silver",18
"GBR",1984,"Summer","Silver",20
"ROU",1984,"Summer","Silver",31
"GER",1984,"Summer","Silver",0
"POL",1984,"Summer","Silver",0
"TCH",1984,"Summer","Silver",0
"FRG",1984,"Summer","Silver",75
"KOR",1984,"Summer","Silver",28
"CHN",1984,"Summer","Silver",13
"DEN",1988,"Summer","Silver",1
"FIN",1988,"Summer","Silver",1
"NOR",1988,"Summer","Silver",20
"NED",1988,"Summer","Silver",6
"FRA",1988,"Summer","Silver",4
"ITA",1988,"Summer","Silver",10
"ESP",1988,"Summer","Silver",2
"RUS",1988,"Summer","Silver",0
"USA",1988,"Summer","Silver",66
"HUN",1988,"Summer","Silver",9
"AUS",1988,"Summer","Silver",6
"CAN",1988,"Summer","Silver",5
"URS",1988,"Summer","Silver",67
"JPN",1988,"Summer","Silver",3
"SUI",1988,"Summer","Silver",6
"GDR",1988,"Summer","Silver",54
"SWE",1988,"Summer","Silver",5
"GBR",1988,"Summer","Silver",17
"ROU",1988,"Summer","Silver",34
"GER",1988,"Summer","Silver",0
"POL",1988,"Summer","Silver",9
"TCH",1988,"Summer","Silver",4
"FRG",1988,"Summer","Silver",37
"KOR",1988,"Summer","Silver",37
"CHN",1988,"Summer","Silver",16
"DEN",1992,"Summer","Silver",2
"FIN",1992,"Summer","Silver",4
"NOR",1992,"Summer","Silver",20
"NED",1992,"Summer","Silver",20
"FRA",1992,"Summer","Silver",5
"ITA",1992,"Summer","Silver",10
"ESP",1992,"Summer","Silver",19
"RUS",1992,"Summer","Silver",0
"USA",1992,"Summer","Silver",50
"HUN",1992,"Summer","Silver",23
"AUS",1992,"Summer","Silver",27
"CAN",1992,"Summer","Silver",5
"URS",1992,"Summer","Silver",0
"JPN",1992,"Summer","Silver",8
"SUI",1992,"Summer","Silver",0
"GDR",1992,"Summer","Silver",0
"SWE",1992,"Summer","Silver",27
"GBR",1992,"Summer","Silver",3
"ROU",1992,"Summer","Silver",31
"GER",1992,"Summer","Silver",57
"POL",1992,"Summer","Silver",22
"TCH",1992,"Summer","Silver",3
"FRG",1992,"Summer","Silver",0
"KOR",1992,"Summer","Silver",5
"CHN",1992,"Summer","Silver",45
"DEN",1996,"Summer","Silver",1
"FIN",1996,"Summer","Silver",2
"NOR",1996,"Summer","Silver",3
"NED",1996,"Summer","Silver",9
"FRA",1996,"Summer","Silver",10
"ITA",1996,"Summer","Silver",24
"ESP",1996,"Summer","Silver",21
"RUS",1996,"Summer","Silver",45
"USA",1996,"Summer","Silver",48
"HUN",1996,"Summer","Silver",9
"AUS",1996,"Summer","Silver",16
"CAN",1996,"Summer","Silver",30
"URS",1996,"Summer","Silver",0
"JPN",1996,"Summer","Silver",26
"SUI",1996,"Summer","Silver",6
"GDR",1996,"Summer","Silver",0
"SWE",1996,"Summer","Silver",23
"GBR",1996,"Summer","Silver",15
"ROU",1996,"Summer","Silver",10
"GER",1996,"Summer","Silver",35
"POL",1996,"Summer","Silver",8
"TCH",1996,"Summer","Silver",0
"FRG",1996,"Summer","Silver",0
"KOR",1996,"Summer","Silver",49
"CHN",1996,"Summer","Silver",70
"DEN",2000,"Summer","Silver",3
"FIN",2000,"Summer","Silver",1
"NOR",2000,"Summer","Silver",4
"NED",2000,"Summer","Silver",29
"FRA",2000,"Summer","Silver",30
"ITA",2000,"Summer","Silver",14
"ESP",2000,"Summer","Silver",19
"RUS",2000,"Summer","Silver",67
"USA",2000,"Summer","Silver",61
"HUN",2000,"Summer","Silver",24
"AUS",2000,"Summer","Silver",69
"CAN",2000,"Summer","Silver",4
"URS",2000,"Summer","Silver",0
"JPN",2000,"Summer","Silver",31
"SUI",2000,"Summer","Silver",11
"GDR",2000,"Summer","Silver",0
"SWE",2000,"Summer","Silver",20
"GBR",2000,"Summer","Silver",20
"ROU",2000,"Summer","Silver",6
"GER",2000,"Summer","Silver",23
"POL",2000,"Summer","Silver",10
"TCH",2000,"Summer","Silver",0
"FRG",2000,"Summer","Silver",0
"KOR",2000,"Summer","Silver",26
"CHN",2000,"Summer","Silver",23
"DEN",2004,"Summer","Silver",1
"FIN",2004,"Summer","Silver",2
"NOR",2004,"Summer","Silver",0
"NED",2004,"Summer","Silver",51
"FRA",2004,"Summer","Silver",10
"ITA",2004,"Summer","Silver",41
"ESP",2004,"Summer","Silver",17
"RUS",2004,"Summer","Silver",46
"USA",2004,"Summer","Silver",75
"HUN",2004,"Summer","Silver",12
"AUS",2004,"Summer","Silver",77
"CAN",2004,"Summer","Silver",10
"URS",2004,"Summer","Silver",0
"JPN",2004,"Summer","Silver",20
"SUI",2004,"Summer","Silver",2
"GDR",2004,"Summer","Silver",0
"SWE",2004,"Summer","Silver",5
"GBR",2004,"Summer","Silver",25
"ROU",2004,"Summer","Silver",5
"GER",2004,"Summer","Silver",45
"POL",2004,"Summer","Silver",2
"TCH",2004,"Summer","Silver",0
"FRG",2004,"Summer","Silver",0
"KOR",2004,"Summer","Silver",28
"CHN",2004,"Summer","Silver",27
"DEN",2008,"Summer","Silver",7
"FIN",2008,"Summer","Silver",2
"NOR",2008,"Summer","Silver",5
"NED",2008,"Summer","Silver",18
"FRA",2008,"Summer","Silver",24
